Model,Precision,F1 Score,Recall,Accuracy
Densenet,0.29276135563850403,0.9753594994544983,0.939960777759552,0.9366234540939331
CNN,0.5747511982917786,0.969785213470459,0.9256720542907715,0.9230427742004395
Efficient Net B7,0.2249372899532318,0.9735369086265564,0.9355432987213135,0.9318894743919373
VGG 19,2.7220466136932373,0.9656843543052673,0.9154647588729858,0.9127019643783569
